board_state,solution,moves
xwwwwwwxbxbbbwxxbbbwwbwbbwbbwbwbbwwbbwwbbbwwwbwbbxwwbwwbxxwwwwwb b,b8,g2 h2 b7
wbbbbbbbwbwwwwbbwbwbwbbxwbbwwbwwwbwbbwwbwwbwbwbbwwwwwwxxbwwwwbxx w,h3,g7 g8 h7
wxwwwwwwwwwwbbwxwwwwbwwwwwwbwbwwwwbwwwbwwwwwwwwbbwwwwwxxwwxwwwwx b,c8,h2 g7
xbbbbbxxxwbwbbxwwwwbbbbbbwwwwwbbbwbbwwbbbwbwbwbbbwwbwbxxbwwwwwww w,h7,g1 g7 g2
xbbbbbxwxbbwbbxwbbwbwbbwbwwbbbbwwwwwbwwwwwwwwwbwxwwwwbbwxxxwbbbb b,c8,a8 b8 a7
bxxbbbbbwwwwwwwbbwwbwbwbbbwwwwwbbbwwwwwbbbbbbwwbxxbbwwwxwwwwwwwx b,h7,b1 c1 h8
xwwwwwwxwbwwwwxbwbbbwbbbwbwbwbwbwbwbbbbbwbwbwbxbwwbwwxxxwwwwwwxx w,g6,f7 g2
xxbbbbbxxxbwwwxwxbbbwwwwbbbwbwwwbbwwbbwwbwwbwbbwwwwwwwwwxxwbbbbw w,a3,b2 a2 b1
xxwwwbbbwwwwwwwbxwbbwwwbxwwbwwwbbwwwbbwbbwbwwwbbbwwwwwwbbwwwwwww b,b1,a3 a4 a1
wxwwwwwwxwbwbbxbbwwwwbwbbwwwbwbbbwbbwbwbbwbwwwwbbbwwwbwbbxxbbbwb w,g2,b8 c8 b1
bbbbbbbxwbbwbbxxbbbbbbwwxbwbwbwwxwbwbbbwwwwbwbbwxwbbbbbwwxwwwwww w,g2,a5 b8 a4
xwwwwwwxxxwbbwxbbwbbwwbbwwwwwwwbwwwbwbwbwwwbbwbbwwbwwbwbxbbbbbbw b,a8,a2 b2 g2
bbbbwxxxwwwwwwwwbbwbwwwwbbwbwbwwbbbwbwbwbbwbbbwwxwbbbwxwwwwwwwwx b,a7,f1 g1 g7
bwwbxwxxbwwwbwxwbwbwwbwwbwbbbwbwbwbbbbwwbwbbbbbwbwwwwwbxbbbbbbbx b,e1,g2 g1
xbbbbbbxbxbbbbbbwwwwwbbbwwbbbwbbwwbbbbwbwbbbbbwbxxbwwwwbxxbwwwwb w,a1,a7 b8 b7
